game_date,player_name,yellow_card,min_yc
2012-08-18,Andy Robinson,1,69.0
2012-08-18,Owain Fon Williams,1,89.0
2012-08-21,Liam Palmer,1,40.0
2012-08-21,Danny Holmes,1,59.0
2012-09-08,James Wallace,1,90.0
2012-09-15,Andy Robinson,1,84.0
2012-09-18,Andy Robinson,1,62.0
2012-09-22,Ash Taylor,1,29.0
2012-09-29,Andy Robinson,1,70.0
2012-10-02,Liam Palmer,1,70.0
2012-10-13,James Wallace,1,41.0
2012-10-13,Danny Holmes,1,79.0
2012-10-20,Zoumana Bakayogo,1,45.0
2012-10-23,James Wallace,1,44.0
2012-10-27,Jake Cassidy,1,20.0
2012-11-07,Andy Robinson,1,10.0
2012-11-07,Ben Gibson,1,62.0
2012-11-10,Ash Taylor,1,40.0
2012-11-10,Liam Palmer,1,74.0
2012-11-10,Michael Kay,1,78.0
2012-11-16,Ben Gibson,1,23.0
2012-11-16,Jake Jervis,1,24.0
2012-11-20,Ash Taylor,1,55.0
2012-12-15,Adam McGurk,1,89.0
2012-12-26,Zoumana Bakayogo,1,66.0
2013-01-01,Donervon Daniels,1,75.0
2013-01-12,Donervon Daniels,1,73.0
2013-01-16,Zoumana Bakayogo,1,58.0
2013-01-16,Danny Holmes,1,81.0
2013-01-19,Zoumana Bakayogo,1,56.0
2013-01-19,Owain Fon Williams,1,75.0
2013-01-19,Adam McGurk,1,76.0
2013-01-19,Max Power,1,90.0
2013-02-02,Danny Holmes,1,67.0
2013-02-15,Ash Taylor,1,52.0
2013-02-23,Paul Corry,1,48.0
2013-02-26,Max Power,1,88.0
2013-03-02,Zoumana Bakayogo,1,9.0
2013-03-02,Danny Holmes,1,58.0
2013-03-02,Ian Goodison,1,74.0
2013-03-02,David Amoo,1,80.0
2013-03-09,Ian Goodison,1,9.0
2013-03-09,Max Power,1,64.0
2013-03-12,Danny Holmes,1,51.0
2013-03-12,Max Power,1,60.0
2013-03-29,Mamady Sidibe,1,77.0
2013-04-01,Ben Gibson,1,49.0
2013-04-06,Sean McGinty,1,53.0
2013-04-06,Ash Taylor,1,63.0
2013-04-13,Ben Gibson,1,9.0
2013-04-13,Max Power,1,21.0
2013-04-20,Michael O'Halloran,1,34.0
2013-08-03,Jean-Louis Akpa Akpro,1,37.0
2013-08-03,Max Power,1,45.0
2013-08-03,Danny Holmes,1,57.0
2013-08-03,Jason Koumas,1,88.0
2013-08-03,Evan Horwood,1,90.0
2013-08-10,Evan Horwood,1,9.0
2013-08-10,Max Power,1,28.0
2013-08-10,Andy Robinson,1,54.0
2013-08-17,Danny Holmes,1,12.0
2013-08-17,Joe Thompson,1,16.0
2013-08-24,Chris Atkinson,1,7.0
2013-08-24,Max Power,1,49.0
2013-08-24,Ryan Lowe,1,58.0
2013-08-31,James Rowe,1,65.0
2013-09-07,Joe Thompson,1,15.0
2013-09-07,Max Power,1,81.0
2013-09-14,Jean-Louis Akpa Akpro,1,80.0
2013-09-14,Andy Robinson,1,83.0
2013-09-21,James Rowe,1,5.0
2013-09-21,Tom Hateley,1,82.0
2013-09-28,Ryan Lowe,1,25.0
2013-09-28,James Rowe,1,38.0
2013-10-05,Ryan Lowe,1,85.0
2013-10-13,Jim McNulty,1,16.0
2013-10-13,Ian Goodison,1,27.0
2013-10-13,Owain Fon Williams,1,83.0
2013-10-19,Liam Ridehalgh,1,45.0
2013-10-19,Ryan Lowe,1,78.0
2013-10-22,Cole Stockton,1,69.0
2013-10-26,Evan Horwood,1,90.0
2013-11-02,Owain Fon Williams,1,87.0
2013-11-02,Max Power,1,90.0
2013-11-09,Jean-Louis Akpa Akpro,1,88.0
2013-11-16,Jim McNulty,1,45.0
2013-11-23,Danny Holmes,1,76.0
2013-11-26,Akpo Sodje,1,82.0
2013-11-26,James Wallace,1,82.0
2013-12-14,Ash Taylor,1,59.0
2013-12-14,Jean-Louis Akpa Akpro,1,79.0
2013-12-20,Andy Robinson,1,81.0
2013-12-26,Kristoffer Peterson,1,74.0
2013-12-26,Liam Ridehalgh,1,90.0
2013-12-29,Andy Robinson,1,51.0
2013-12-29,Jean-Louis Akpa Akpro,1,64.0
2013-12-29,Steven Jennings,1,78.0
2014-01-01,Kristoffer Peterson,1,49.0
2014-01-01,Ash Taylor,1,81.0
2014-01-18,Steven Jennings,1,23.0
2014-01-18,Matthew Pennington,1,69.0
2014-01-18,Stephen Arthurworrey,1,77.0
2014-01-25,Matthew Kennedy,1,36.0
2014-01-25,Jason Koumas,1,83.0
2014-02-01,Ash Taylor,1,62.0
2014-02-01,Ryan Lowe,1,90.0
2014-02-08,James Wallace,1,33.0
2014-02-08,Matthew Pennington,1,90.0
2014-02-15,Steven Jennings,1,22.0
2014-02-15,Ryan Lowe,1,29.0
