game_date,event_id
2013-09-07,EFBO695904
2020-01-18,EFBO1064676
2017-03-25,EFBO864501
2015-04-11,EFBO757287
2017-11-18,EFBO931424
2020-12-08,EFBO2176414
2020-02-08,EFBO1064724
2013-11-30,EFBO696060
2022-03-15,EFBO2214422
2013-12-20,EFBO696084
2015-11-28,EFBO814610
2018-12-22,EFBO992328
2013-11-26,EFBO696049
2021-03-20,EFBO2130803
2015-10-13,EFBO814527
2018-11-24,EFBO992291
2015-03-03,EFBO757194
2021-10-30,EFBO2214154
2018-10-09,EFBO1014831
2022-08-24,EFBO2324425
2021-04-24,EFBO2130887
2021-08-07,EFBO2213991
2021-12-21,EFBO2258843
2019-04-22,EFBO992584
2022-11-12,EFBO2301039
2015-08-08,EFBO814346
2023-02-11,EFBO2301194
2024-08-10,EFBO2450709
2023-01-01,EFBO2301115
2014-11-01,EFBO756978
2014-01-01,EFBO696120
2013-08-10,EFBO695856
2023-02-07,EFBO2301152
2018-09-29,EFBO992179
2016-09-10,EFBO864130
2019-03-30,EFBO992542
2011-10-01,EFBO361531
2018-08-04,EFBO992074
2013-08-06,EFBO694867
2015-02-14,EFBO757158
2022-10-29,EFBO2301026
2014-05-03,EFBO696383
2014-09-20,EFBO756893
2019-08-17,EFBO1064376
2022-09-13,EFBO2300930
2020-02-04,EFBO1064533
2012-10-02,EFBO443625
2018-04-07,EFBO931699
2020-11-14,EFBO2130502
2016-12-17,EFBO864317
2022-03-19,EFBO2214435
2015-01-24,EFBO757109
2015-11-24,EFBO814600
2012-09-18,EFBO443592
2017-09-23,EFBO931336
2014-09-16,EFBO756881
2019-04-02,EFBO992517
2023-09-16,EFBO2371711
2014-04-18,EFBO696345
2023-04-18,EFBO2301335
2020-12-12,EFBO2130554
2013-04-13,EFBO444036
2015-09-05,EFBO814429
2024-04-13,EFBO2372144
2012-12-29,EFBO443808
2017-04-17,EFBO864546
2012-09-22,EFBO443596
2024-01-06,EFBO2371935
2020-09-19,EFBO2130383
2016-08-27,EFBO864093
2020-10-03,EFBO2130407
2019-12-07,EFBO1064581
2023-10-20,EFBO2371789
2019-11-17,EFBO1064557
2019-01-01,EFBO992369
2017-04-01,EFBO864514
2018-12-02,EFBO1033528
2022-01-08,EFBO2214291
2023-04-22,EFBO2301350
2022-10-25,EFBO2301014
2015-12-19,EFBO814634
2015-10-24,EFBO837381
2018-01-13,EFBO931466
2021-03-17,EFBO2130702
2022-02-19,EFBO2214375
2018-02-03,EFBO931571
2012-08-18,EFBO443518
2022-04-30,EFBO2214519
2022-08-13,EFBO2300858
2021-04-13,EFBO2130791
2020-12-29,EFBO2130600
2014-10-21,EFBO756954
2021-04-05,EFBO2130839
2023-03-31,EFBO2301290
2019-09-21,EFBO1064460
2014-08-16,EFBO756807
2024-02-17,EFBO2372027
2018-12-15,EFBO992325
2020-11-03,EFBO2130487
2015-08-29,EFBO814406
2013-08-31,EFBO695886
2018-04-10,EFBO931631
2013-03-16,EFBO443971
2024-03-16,EFBO2372089
2021-01-10,EFBO2177561
2019-08-20,EFBO1064380
2017-08-19,EFBO931245
2022-10-08,EFBO2300978
2021-11-06,EFBO2257477
2021-02-16,EFBO2189920
2018-10-12,EFBO992219
2014-12-26,EFBO757039
2023-12-26,EFBO2371907
2017-11-15,EFBO959938
2017-03-28,EFBO864465
2018-09-08,EFBO992146
2013-08-27,EFBO720114
2020-12-05,EFBO2130551
2018-08-25,EFBO992122
2015-09-12,EFBO814436
2024-08-27,EFBO2481548
2022-11-05,EFBO2333856
2021-01-26,EFBO2130671
2017-09-02,EFBO931288
2016-11-26,EFBO864285
2022-02-15,EFBO2214260
2012-10-23,EFBO443676
2020-02-25,EFBO1064651
2021-09-11,EFBO2214058
2014-12-06,EFBO786750
2012-12-08,EFBO443759
2016-04-09,EFBO814851
2022-05-07,EFBO2214526
2022-09-24,EFBO2300955
2022-08-09,EFBO2301560
2020-01-23,EFBO2048116
2021-02-20,EFBO2130719
2016-02-20,EFBO814739
2013-10-26,EFBO696000
2021-01-30,EFBO2130680
2016-01-30,EFBO814707
2022-12-03,EFBO2301061
2014-03-11,EFBO696254
2016-08-06,EFBO864026
2019-12-26,EFBO1064608
2023-03-11,EFBO2301249
2021-05-08,EFBO2130911
2015-04-06,EFBO757278
2017-08-15,EFBO931232
2014-04-15,EFBO696124
2024-01-27,EFBO2371974
2023-04-15,EFBO2301317
2022-01-29,EFBO2214327
2019-04-19,EFBO992579
2015-03-14,EFBO757214
2019-09-17,EFBO1064448
2022-10-04,EFBO2307407
2012-09-15,EFBO443580
2021-08-10,EFBO2214977
2017-12-09,EFBO931480
2019-11-20,EFBO2040827
2018-09-04,EFBO1014828
2024-08-20,EFBO2453498
2015-09-15,EFBO814453
2022-01-22,EFBO2214305
2019-08-31,EFBO1064412
2014-09-06,EFBO756847
2022-11-22,EFBO2336653
2021-12-11,EFBO2214223
2017-08-08,EFBO931216
2017-05-06,EFBO914295
2012-08-25,EFBO443543
2021-12-07,EFBO2214217
2015-02-24,EFBO757072
2012-09-08,EFBO443561
2022-09-03,EFBO2300902
2018-04-17,EFBO931676
2020-01-04,EFBO2042067
2017-11-04,EFBO958964
2021-10-16,EFBO2214113
2017-04-11,EFBO864441
2024-02-10,EFBO2371996
2021-03-06,EFBO2130767
2022-02-08,EFBO2214351
2021-08-21,EFBO2214027
2018-08-18,EFBO992099
2021-04-02,EFBO2130820
2019-12-01,EFBO2040878
2016-04-02,EFBO814837
2017-01-28,EFBO864382
2012-12-15,EFBO443769
2017-03-03,EFBO864448
2013-09-21,EFBO695921
2017-09-09,EFBO931300
2019-05-13,EFBO1056737
2013-11-16,EFBO696024
2013-01-16,EFBO443823
2023-10-10,EFBO2397426
2021-08-17,EFBO2214014
2020-09-29,EFBO2128103
2015-10-03,EFBO814496
2013-12-26,EFBO696096
2013-02-26,EFBO443928
2018-02-24,EFBO931620
2019-05-25,EFBO1057386
2014-04-12,EFBO696336
2015-12-28,EFBO814650
2015-02-28,EFBO757172
2022-03-05,EFBO2214396
2017-08-12,EFBO931228
2018-09-15,EFBO992148
2015-08-22,EFBO814387
2019-12-21,EFBO1064605
2017-02-18,EFBO864412
2017-12-18,EFBO963374
2021-02-27,EFBO2130737
2023-09-30,EFBO2371730
2018-10-23,EFBO992234
2015-11-14,EFBO814583
2021-05-23,EFBO2205591
2020-11-24,EFBO2130527
2018-08-14,EFBO988715
2023-01-07,EFBO2301135
2015-08-18,EFBO814376
2014-02-01,EFBO696187
2023-11-11,EFBO2371823
2018-04-21,EFBO931728
2014-11-11,EFBO785287
2020-02-22,EFBO1064761
2014-01-11,EFBO696144
2015-12-12,EFBO838761
2020-09-05,EFBO2127743
2022-02-12,EFBO2214363
2018-12-08,EFBO992314
2017-08-28,EFBO931276
2015-01-03,EFBO787749
2019-08-10,EFBO1064362
2014-09-27,EFBO756897
2021-11-20,EFBO2214174
2023-04-29,EFBO2301352
2018-03-24,EFBO931672
2017-12-23,EFBO931490
2016-09-17,EFBO864153
2024-08-17,EFBO2450721
2015-09-22,EFBO814468
2013-08-17,EFBO695861
2017-11-25,EFBO931451
2023-12-16,EFBO2371884
2017-03-18,EFBO909390
2014-12-16,EFBO787669
2015-03-28,EFBO757254
2021-12-26,EFBO2214255
2016-12-26,EFBO864334
2022-01-15,EFBO2214303
2017-09-12,EFBO931311
2012-09-29,EFBO443616
2015-12-05,EFBO814615
2020-09-12,EFBO2130365
2022-02-05,EFBO2214328
2020-12-19,EFBO2130577
2020-10-24,EFBO2130455
2016-04-23,EFBO814873
2017-10-24,EFBO931396
2014-10-07,EFBO783313
2023-10-07,EFBO2371765
2014-08-30,EFBO756845
2019-09-07,EFBO1064424
2022-10-14,EFBO2300991
2022-12-29,EFBO2301100
2021-03-27,EFBO2130815
2017-08-05,EFBO931203
2024-02-27,EFBO2371968
2014-04-05,EFBO696318
2023-08-26,EFBO2371678
2014-03-01,EFBO696240
2016-08-16,EFBO864061
2015-09-18,EFBO814465
2019-01-26,EFBO992417
2014-10-11,EFBO756930
2012-11-24,EFBO443746
2022-10-22,EFBO2300997
2020-09-08,EFBO2128099
2023-05-08,EFBO2301374
2016-10-01,EFBO864170
2013-12-07,EFBO732765
2015-08-15,EFBO814370
2018-09-22,EFBO992170
2012-02-14,EFBO361764
2019-02-16,EFBO992448
2017-03-14,EFBO864478
2020-01-29,EFBO1064700
2017-10-04,EFBO931355
2022-07-30,EFBO2300834
2016-08-20,EFBO864081
2018-11-03,EFBO992267
2024-01-01,EFBO2371932
2013-01-01,EFBO443810
2019-05-04,EFBO992605
2022-11-19,EFBO2301050
2017-10-28,EFBO931405
2012-10-13,EFBO443652
2022-10-18,EFBO2307410
2021-01-16,EFBO2130646
2016-02-06,EFBO814722
2021-02-06,EFBO2130695
2018-10-02,EFBO992195
2019-04-13,EFBO992566
2018-12-29,EFBO992363
2016-03-12,EFBO814789
2013-03-29,EFBO443999
2014-04-26,EFBO696367
2024-03-29,EFBO2372105
2023-08-05,EFBO2371632
2021-10-02,EFBO2214099
2017-08-26,EFBO931262
2022-08-16,EFBO2300867
2021-09-18,EFBO2214075
2012-11-07,EFBO443693
2016-04-16,EFBO814863
2014-03-22,EFBO696284
2022-04-23,EFBO2214506
2014-12-19,EFBO757038
2023-10-24,EFBO2371797
2017-10-07,EFBO931369
2013-11-02,EFBO696009
2018-02-10,EFBO931583
2021-05-01,EFBO2130892
2019-03-02,EFBO992474
2023-03-18,EFBO2301266
2023-11-25,EFBO2371847
2014-01-25,EFBO696168
2015-12-26,EFBO814647
2016-03-28,EFBO814826
2022-02-26,EFBO2214382
2022-12-26,EFBO2301099
2019-04-06,EFBO992552
2023-08-29,EFBO2404261
2017-04-29,EFBO864572
2016-02-13,EFBO814733
2023-12-23,EFBO2371896
2012-10-06,EFBO443636
2024-04-01,EFBO2372124
2022-09-17,EFBO2300941
2013-04-01,EFBO444008
2019-04-30,EFBO992603
2019-08-13,EFBO1065632
2022-12-10,EFBO2301068
2014-08-09,EFBO756798
2016-01-23,EFBO814696
2021-01-23,EFBO2130659
2015-02-10,EFBO757143
2021-11-23,EFBO2214195
2019-02-19,EFBO992433
2019-11-09,EFBO2033344
2021-09-14,EFBO2229418
2015-05-02,EFBO757338
2014-02-15,EFBO696206
2020-01-26,EFBO2048316
2023-10-28,EFBO2371812
2019-09-28,EFBO1064466
2016-03-08,EFBO814720
2021-04-20,EFBO2130866
2012-12-21,EFBO443782
2019-02-23,EFBO992470
2020-10-27,EFBO2130458
2014-11-29,EFBO757014
2015-04-03,EFBO757264
2022-08-20,EFBO2300881
2014-10-04,EFBO756908
2021-02-09,EFBO2130575
2015-03-07,EFBO757206
2021-01-19,EFBO2130635
2018-01-20,EFBO931552
2023-04-10,EFBO2301314
2018-11-20,EFBO1033275
2015-10-17,EFBO814547
2016-11-19,EFBO864255
2018-12-26,EFBO992351
2024-02-24,EFBO2372033
2022-03-11,EFBO2214410
2016-10-22,EFBO864210
2013-10-19,EFBO695975
2024-03-09,EFBO2372058
2013-03-09,EFBO443952
2022-10-01,EFBO2300967
2019-10-08,EFBO1087910
2020-10-31,EFBO2130479
2017-03-21,EFBO864489
2018-09-01,EFBO992130
2022-04-15,EFBO2214473
2013-09-03,EFBO722077
2015-04-14,EFBO757296
2021-08-14,EFBO2213999
2011-11-05,EFBO361605
2023-04-07,EFBO2301292
2021-10-23,EFBO2214146
2023-09-09,EFBO2371698
2013-11-23,EFBO696027
2016-03-25,EFBO814811
2013-09-14,EFBO695916
2022-04-02,EFBO2214458
2023-11-28,EFBO2371856
2023-01-28,EFBO2301170
2014-03-15,EFBO696276
2014-01-28,EFBO696180
2015-02-07,EFBO757133
2021-03-09,EFBO2130778
2013-10-22,EFBO695986
2018-10-20,EFBO992231
2021-10-19,EFBO2214128
2015-01-17,EFBO757097
2020-11-27,EFBO2174987
2016-09-03,EFBO864108
2019-03-23,EFBO992522
2023-02-14,EFBO2301196
2021-05-20,EFBO2205590
2022-09-20,EFBO2307409
2023-11-04,EFBO2412014
2017-01-31,EFBO864370
2013-08-03,EFBO695845
2013-04-20,EFBO444045
2012-10-27,EFBO443688
2024-04-20,EFBO2372160
2017-02-21,EFBO864430
2016-11-22,EFBO864270
2013-03-24,EFBO443988
2013-01-19,EFBO443845
2023-08-08,EFBO2372905
2022-11-01,EFBO2300918
2013-02-09,EFBO443887
2017-04-08,EFBO864527
2018-08-21,EFBO992110
2020-02-01,EFBO1064703
2020-12-01,EFBO2130537
2019-10-05,EFBO1064484
2017-11-11,EFBO931415
2015-04-18,EFBO757314
2020-01-11,EFBO1064664
2014-02-22,EFBO696228
2020-11-11,EFBO2128104
2022-04-18,EFBO2214495
2023-09-05,EFBO2397423
2015-11-21,EFBO814591
2013-12-29,EFBO696107
2020-09-26,EFBO2130387
2016-01-02,EFBO814669
2021-12-04,EFBO2258702
2014-09-13,EFBO756864
2018-03-10,EFBO931638
2017-09-30,EFBO931337
2024-03-12,EFBO2372075
2013-03-12,EFBO443963
2018-04-14,EFBO931719
2019-10-13,EFBO1064489
2020-11-07,EFBO2173623
2020-01-07,EFBO2042853
2022-03-26,EFBO2214438
2016-02-28,EFBO814762
2024-02-13,EFBO2372017
2014-08-12,EFBO754351
2016-03-05,EFBO814775
2023-08-12,EFBO2371640
2018-01-01,EFBO931521
2014-11-08,EFBO785977
2019-01-12,EFBO992389
2014-10-25,EFBO756955
2019-11-12,EFBO1087533
2012-11-10,EFBO443709
2023-02-18,EFBO2301218
2019-12-14,EFBO1064586
2020-10-10,EFBO2130416
2021-04-17,EFBO2130863
2019-01-04,EFBO1034933
2017-04-04,EFBO864358
2019-05-10,EFBO1056735
2018-11-17,EFBO992269
2016-10-08,EFBO864203
2021-10-08,EFBO2214110
2024-03-23,EFBO2372100
2020-12-26,EFBO2130599
2013-04-27,EFBO444060
2014-11-15,EFBO756982
2019-10-22,EFBO1064520
2012-10-20,EFBO443653
2017-12-26,EFBO931499
2024-04-27,EFBO2372163
2016-08-29,EFBO864105
2019-02-09,EFBO992446
2017-12-30,EFBO931516
2019-01-19,EFBO992410
2014-12-13,EFBO757017
2021-09-04,EFBO2214051
2019-08-03,EFBO1064352
2015-01-10,EFBO757082
2021-02-23,EFBO2130723
2018-10-27,EFBO992255
2014-08-19,EFBO756821
2023-08-19,EFBO2371668
2017-10-21,EFBO931373
2019-10-18,EFBO1064508
2019-03-08,EFBO992496
2018-02-20,EFBO931607
2015-03-17,EFBO757220
2021-11-09,EFBO2229424
2014-08-23,EFBO756834
2016-01-09,EFBO814683
2019-09-14,EFBO1064434
2023-03-04,EFBO2301242
2016-08-13,EFBO864058
2016-04-30,EFBO814882
2023-10-14,EFBO2371767
2023-12-29,EFBO2371914
2019-11-23,EFBO1064560
2016-11-29,EFBO864292
2013-01-12,EFBO443844
2021-03-14,EFBO2191510
2018-11-10,EFBO1032591
2016-10-04,EFBO864190
2013-02-02,EFBO443878
2020-03-07,EFBO1064775
2013-09-25,EFBO726613
2014-12-09,EFBO786857
2023-12-09,EFBO2371873
2017-03-07,EFBO864384
2020-10-17,EFBO2130427
2021-04-10,EFBO2130849
2022-08-06,EFBO2300844
2012-01-17,EFBO361662
2017-03-11,EFBO909388
2018-05-12,EFBO983127
2015-04-25,EFBO757322
2019-02-05,EFBO992386
2015-10-31,EFBO814555
2023-08-15,EFBO2371656
2021-03-02,EFBO2130755
2018-01-06,EFBO931533
2011-09-03,EFBO361471
2013-12-14,EFBO696065
2015-03-21,EFBO757242
2016-09-24,EFBO864166
2022-04-09,EFBO2214471
2016-08-09,EFBO864046
2019-12-29,EFBO1064628
2018-03-17,EFBO931649
2021-01-13,EFBO2181192
2017-05-14,EFBO914504
2021-11-13,EFBO2214170
2012-08-21,EFBO443523
2016-12-03,EFBO864310
2013-10-05,EFBO695952
2023-09-02,EFBO2371692
2013-10-13,EFBO695954
2023-02-25,EFBO2301230
2014-10-18,EFBO756937
2019-03-12,EFBO992507
2024-08-24,EFBO2450734
2013-08-24,EFBO695880
2014-03-08,EFBO696251
2024-04-06,EFBO2372137
2013-04-06,EFBO444016
2016-10-29,EFBO864233
2017-05-03,EFBO914293
2024-03-02,EFBO2372051
2013-03-02,EFBO443940
2015-01-31,EFBO757115
2021-02-02,EFBO2187327
2018-10-06,EFBO992203
2015-02-21,EFBO757170
2016-11-12,EFBO864249
2017-02-11,EFBO864406
2020-02-11,EFBO1064736
2014-11-22,EFBO757002
2017-01-01,EFBO864342
2021-09-25,EFBO2214078
2020-01-01,EFBO1064640
2013-02-15,EFBO443902
2018-12-17,EFBO1034643
2017-04-14,EFBO864537
2018-02-17,EFBO931595
2019-12-04,EFBO2041445
2020-03-10,EFBO1064678
2012-11-16,EFBO443724
2014-01-18,EFBO696151
2014-03-25,EFBO696300
2018-04-28,EFBO931743
2023-11-18,EFBO2371837
2023-03-25,EFBO2301269
2014-02-08,EFBO696204
2019-11-02,EFBO1064541
2018-05-05,EFBO983036
2015-08-11,EFBO814358
2024-02-03,EFBO2371993
2021-10-05,EFBO2229420
2014-04-21,EFBO696360
2024-01-13,EFBO2371956
2012-11-20,EFBO443736
2015-08-31,EFBO814414
2023-02-28,EFBO2301086
2014-12-28,EFBO757062
2015-10-06,EFBO814513
2017-04-22,EFBO864561
2021-12-18,EFBO2214243
2016-10-25,EFBO864225
2013-02-23,EFBO443908
2015-10-10,EFBO814517
2018-11-27,EFBO992296
2012-09-01,EFBO443554
2021-03-23,EFBO2130615
2018-01-27,EFBO931559
2023-10-03,EFBO2371752
2022-08-27,EFBO2300894
2012-12-26,EFBO443796
2020-10-20,EFBO2130443
2013-11-09,EFBO732265
2022-02-01,EFBO2214207
2017-09-16,EFBO931317
2013-02-19,EFBO443868
2022-01-11,EFBO2214275
2020-11-21,EFBO2130515
2017-11-21,EFBO931439
2015-09-26,EFBO814490
2024-08-13,EFBO2453035
2018-08-11,EFBO992086
2021-08-28,EFBO2214036
2013-09-28,EFBO695940
2016-09-13,EFBO864143
2023-02-04,EFBO2301182
2014-03-29,EFBO696312
2023-01-14,EFBO2301147
2023-11-14,EFBO2397428
2018-04-24,EFBO931694
2016-03-19,EFBO814798
2018-10-30,EFBO1014833
2023-09-23,EFBO2371728
