game_date,player_id,player_name,card_type,card_min
1967-08-19,CaseyGerry19410825,Gerry Casey,red,49
1984-05-21,HigginsDave19610819,Dave Higgins,yellow,
1984-05-21,HigginsDave19610819,Dave Higgins,red,89
1984-05-21,MungallSteve19580522,Steve Mungall,yellow,
1986-03-25,MuirIan19630505,Ian Muir,yellow,
1986-03-25,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1986-09-27,ThorpeAndy19600915,Andy Thorpe,yellow,
1986-09-27,ThorpeAndy19600915,Andy Thorpe,red,90
1986-09-27,HughesMark19620203,Mark Hughes,yellow,
1986-09-27,MooreRonnie19530129,Ronnie Moore,yellow,
1986-10-11,ORourkeBilly19600402,Billy O'Rourke,yellow,
1986-10-11,WorthingtonFrank19481123,Frank Worthington,yellow,
1986-10-11,WorthingtonFrank19481123,Frank Worthington,red,77
1986-10-11,BellGraham19550330,Graham Bell,yellow,
1986-10-11,MooreRonnie19530129,Ronnie Moore,yellow,
1987-02-14,ThorpeAndy19600915,Andy Thorpe,yellow,
1987-02-14,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1987-02-14,FarnworthSimon19631028,Simon Farnworth,red,87
1987-02-14,MungallSteve19580522,Steve Mungall,yellow,
1987-03-21,HayAlan19581128,Alan Hay,yellow,
1987-03-21,BellGraham19550330,Graham Bell,yellow,
1987-03-21,MorrisseyJohnny19650308,Johnny Morrissey,red,43
1987-03-21,VickersSteve19671013,Steve Vickers,yellow,
1987-08-18,MartindaleDave19640409,Dave Martindale,yellow,
1987-08-18,McCarrickMark19620204,Mark McCarrick,red,44
1987-09-15,McCarrickMark19620204,Mark McCarrick,yellow,
1987-09-15,MungallSteve19580522,Steve Mungall,yellow,
1987-09-15,MungallSteve19580522,Steve Mungall,red,64
1988-08-29,SteelJim19591204,Jim Steel,yellow,
1988-09-05,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1988-09-05,MooreRonnie19530129,Ronnie Moore,yellow,
