cup_game_date,cup_stage,cup_round,cup_section,cup_leg_no,decider,cup_outcome,agg_outcome,agg_score,agg_gf,agg_ga,gg_outcome,away_goal_outcome,pens_outcome,pens_score,pens_gf,pens_ga,game_length,outcome_desc,is_qualifying_round,is_group_stage,is_multi_leg,is_replay,is_extra_time,is_golden_goal,is_pen_shootout,is_play_off
1921-11-19,4th Qualifying Round,Q4,,,,,,,,,,,,,,,90,,1,0,0,0,0,0,0,0
1921-11-24,4th Qualifying Round Replay,Q4,,,,,,,,,,,,,,,90,,1,0,0,1,0,0,0,0
1922-11-18,4th Qualifying Round,Q4,,,,,,,,,,,,,,,90,,1,0,0,0,0,0,0,0
1923-11-17,4th Qualifying Round,Q4,,,,,,,,,,,,,,,90,,1,0,0,0,0,0,0,0
1923-12-01,5th Qualifying Round,5,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1923-12-06,5th Qualifying Round Replay,5,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1923-12-15,6th Qualifying Round,Q6,,,,,,,,,,,,,,,90,,1,0,0,0,0,0,0,0
1924-11-15,4th Qualifying Round,Q4,,,,,,,,,,,,,,,90,,1,0,0,0,0,0,0,0
1924-11-19,4th Qualifying Round Replay,Q4,,,,,,,,,,,,,,,90,,1,0,0,1,0,0,0,0
1924-11-29,5th Qualifying Round,Q5,,,,,,,,,,,,,,,90,,1,0,0,0,0,0,0,0
1924-12-03,5th Qualifying Round Replay,Q5,,,,,,,,,,,,,,,90,,1,0,0,1,0,0,0,0
1925-11-28,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1925-12-02,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1926-11-27,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1926-12-02,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1927-11-26,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
