manager_id,manager_surname,manager_forename,manager_name,manager_dob,manager_dob_year
AdamsMickey19611108,Adams,Mickey,Mickey Adams,1961-11-08,
AdkinsNigel19650311,Adkins,Nigel,Nigel Adkins,1965-03-11,
AldridgeJohn19580918,Aldridge,John,John Aldridge,1958-09-18,
BarnesJohn19631107,Barnes,John,John Barnes,1963-11-07,
BlackburnErnie18920423,Blackburn,Ernie,Ernie Blackburn,1892-04-23,
BrabinGary19701209,Brabin,Gary,Gary Brabin,1970-12-09,
CardenPaul19790329,Carden,Paul,Paul Carden,1979-03-29,
CarrJack18921126,Carr,Jack,Jack Carr,1892-11-26,
CookeBert1882,Cooke,Bert,Bert Cooke,,1882
DawesIan19840316,Dawes,Ian,Ian Dawes,1984-03-16,
EdwardsRob19730101,Edwards,Rob,Rob Edwards,1973-01-01,
FarrellPeter19220822,Farrell,Peter,Peter Farrell,1922-08-22,
GalbraithWalter19180526,Galbraith,Walter,Walter Galbraith,1918-05-26,
HamiltonBryan19461221,Hamilton,Bryan,Bryan Hamilton,1946-12-21,
HillKeith19690517,Hill,Keith,Keith Hill,1969-05-17,
JacksonMichael19731204,Jackson,Michael,Michael Jackson,1973-12-04,
JonesTommy19091206,Jones,Tommy,Tommy Jones,1909-12-06,
KellyNoel19211228,Kelly,Noel,Noel Kelly,1921-12-28,
KingJohn19380415,King,John,John King,1938-04-15,
KnowlesJim1903,Knowles,Jim,Jim Knowles,,1903
LittleBrian19531125,Little,Brian,Brian Little,1953-11-25,
MathiasRay19461213,Mathias,Ray,Ray Mathias,1946-12-13,
McAteerJason19710618,McAteer,Jason,Jason McAteer,1971-06-18,
McMahonJohn19640519,McMahon,John,John McMahon,1964-05-19,
MellonMicky19720318,Mellon,Micky,Micky Mellon,1972-03-18,
MooreRonnie19530129,Moore,Ronnie,Ronnie Moore,1953-01-29,
MortonJimmy18910922,Morton,Jimmy,Jimmy Morton,1891-09-22,
ParryLes19571127,Parry,Les,Les Parry,1957-11-27,
RiddingBill19110404,Ridding,Bill,Bill Ridding,1911-04-04,
RogersAlan19770103,Rogers,Alan,Alan Rogers,1977-01-03,
RussellDave19140407,Russell,Dave,Dave Russell,1914-04-07,
SheedyKevin19591021,Sheedy,Kevin,Kevin Sheedy,1959-10-21,
WatsonDave19611120,Watson,Dave,Dave Watson,1961-11-20,
WorthingtonFrank19481123,Worthington,Frank,Frank Worthington,1948-11-23,
WrightJackie19260811,Wright,Jackie,Jackie Wright,1926-08-11,
YeatsRon19371115,Yeats,Ron,Ron Yeats,1937-11-15,
