game_date,team_name,team_venue,possessionPercentage,shotsTotal,shotsOnTarget,shotsOffTarget,shotsBlocked,shotsSaved,foulsCommitted,cornersWon,touchesInBox,aerialsWon
2020-01-01,Tranmere Rovers,home,42.1,13,6,5,2,3,17,5,28.0,20.0
2020-01-01,Coventry City,away,57.9,18,7,8,3,4,6,3,21.0,29.0
2020-01-04,Watford,home,56.0,9,3,3,3,5,13,4,,
2020-01-04,Tranmere Rovers,away,44.0,12,7,3,2,0,11,5,,
2020-01-07,Tranmere Rovers,home,43.1,7,2,0,5,2,15,7,13.0,19.0
2020-01-07,Leicester City U21,away,56.9,14,4,5,5,1,7,9,36.0,27.0
2020-01-11,Southend United,home,48.4,15,3,9,3,3,8,5,16.0,46.0
2020-01-11,Tranmere Rovers,away,51.6,9,3,4,2,3,17,7,14.0,30.0
2020-01-18,Tranmere Rovers,home,44.2,5,2,2,1,5,15,3,13.0,36.0
2020-01-18,Ipswich Town,away,55.8,16,7,3,6,1,20,4,27.0,38.0
2020-01-23,Tranmere Rovers,home,59.0,20,3,12,5,2,8,7,,
2020-01-23,Watford,away,41.0,11,3,4,4,1,21,4,,
2020-01-26,Tranmere Rovers,home,28.4,11,4,7,0,3,13,4,18.0,12.0
2020-01-26,Manchester United,away,71.6,23,9,9,5,4,11,4,42.0,18.0
2020-01-29,Tranmere Rovers,home,49.9,8,2,2,4,0,14,2,18.0,12.0
2020-01-29,Sunderland,away,50.1,5,1,2,2,2,14,3,11.0,22.0
2020-02-01,Bolton Wanderers,home,56.9,23,4,9,10,2,9,6,28.0,36.0
2020-02-01,Tranmere Rovers,away,43.1,8,2,2,4,2,14,3,13.0,21.0
2020-02-04,Tranmere Rovers,home,52.6,11,1,4,6,4,12,3,,31.0
2020-02-04,Doncaster Rovers,away,47.4,15,8,6,1,1,18,4,,35.0
2020-02-08,Tranmere Rovers,home,54.0,16,2,8,6,2,9,6,,46.0
2020-02-08,Portsmouth,away,46.0,9,4,4,1,2,15,3,,59.0
2020-02-11,Tranmere Rovers,home,49.3,15,2,5,8,3,10,5,28.0,34.0
