game_date,player_id,role,shirt_no
1921-08-27,BradshawHarry18950122,starter,1
1921-08-27,GraingerJohn1896,starter,2
1921-08-27,StuartTom18931025,starter,3
1921-08-27,CampbellJohnny18941014,starter,4
1921-08-27,MilnesCharles21885,starter,5
1921-08-27,HeslopTom,starter,6
1921-08-27,MoretonJimmy18910922,starter,7
1921-08-27,GrovesFred18920506,starter,8
1921-08-27,HyamJames,starter,9
1921-08-27,FordJohn,starter,10
1921-08-27,HughesThomas,starter,11
1921-09-03,BradshawHarry18950122,starter,1
1921-09-03,HayesCharlie18931207,starter,2
1921-09-03,StuartTom18931025,starter,3
1921-09-03,CampbellJohnny18941014,starter,4
1921-09-03,MilnesCharles21885,starter,5
1921-09-03,HeslopTom,starter,6
1921-09-03,MoretonJimmy18910922,starter,7
1921-09-03,RobinsonAlfred18980130,starter,8
1921-09-03,GrovesFred18920506,starter,9
1921-09-03,PrenticeJohn18981019,starter,10
1921-09-03,HughesThomas,starter,11
1921-09-10,BradshawHarry18950122,starter,1
1921-09-10,HayesCharlie18931207,starter,2
1921-09-10,StuartTom18931025,starter,3
1921-09-10,CampbellJohnny18941014,starter,4
1921-09-10,MilnesCharles21885,starter,5
1921-09-10,HeslopTom,starter,6
1921-09-10,MoretonJimmy18910922,starter,7
1921-09-10,RobinsonAlfred18980130,starter,8
1921-09-10,GrovesFred18920506,starter,9
1921-09-10,PrenticeJohn18981019,starter,10
1921-09-10,HughesThomas,starter,11
1921-09-17,BradshawHarry18950122,starter,1
1921-09-17,HayesCharlie18931207,starter,2
1921-09-17,StuartTom18931025,starter,3
1921-09-17,CampbellJohnny18941014,starter,4
1921-09-17,MilnesCharles21885,starter,5
1921-09-17,FaircloughPeter,starter,6
1921-09-17,MoretonJimmy18910922,starter,7
1921-09-17,RobinsonAlfred18980130,starter,8
1921-09-17,GrovesFred18920506,starter,9
1921-09-17,PrenticeJohn18981019,starter,10
1921-09-17,RobertsJames18910107,starter,11
1921-09-24,BradshawHarry18950122,starter,1
1921-09-24,HayesCharlie18931207,starter,2
1921-09-24,StuartTom18931025,starter,3
1921-09-24,CampbellJohnny18941014,starter,4
1921-09-24,HeslopTom,starter,5
1921-09-24,FaircloughPeter,starter,6
1921-09-24,MoretonJimmy18910922,starter,7
1921-09-24,GrovesFred18920506,starter,8
1921-09-24,BulloughDenis18951129,starter,9
1921-09-24,PrenticeJohn18981019,starter,10
1921-09-24,RobertsJames18910107,starter,11
1921-10-01,BradshawHarry18950122,starter,1
1921-10-01,HayesCharlie18931207,starter,2
1921-10-01,StuartTom18931025,starter,3
1921-10-01,CampbellJohnny18941014,starter,4
1921-10-01,MercerJoe18900721,starter,5
1921-10-01,HeslopTom,starter,6
1921-10-01,CookFred,starter,7
1921-10-01,GrovesFred18920506,starter,8
1921-10-01,BulloughDenis18951129,starter,9
1921-10-01,CunninghamCharlie,starter,10
1921-10-01,PrenticeJohn18981019,starter,11
1921-10-08,BradshawHarry18950122,starter,1
1921-10-08,HayesCharlie18931207,starter,2
1921-10-08,StuartTom18931025,starter,3
1921-10-08,CampbellJohnny18941014,starter,4
1921-10-08,MercerJoe18900721,starter,5
1921-10-08,HeslopTom,starter,6
1921-10-08,MoretonJimmy18910922,starter,7
1921-10-08,GrovesFred18920506,starter,8
1921-10-08,BulloughDenis18951129,starter,9
