player_id,display_name,player_name,surname,forename,player_dob,dob_display,comp_rec_pos,soccerbase_pos,tm_pos_1,tm_pos_2,tm_pos_3,position
ACourtAlan19340930,"A'Court, Alan",Alan A'Court,A'Court,Alan,1934-09-30,,Outside Left,,,,,Outside Left
AchterbergJohn19710708,"Achterberg, John",John Achterberg,Achterberg,John,1971-07-08,,,Goalkeeper,Goalkeeper,,,Goalkeeper
AdamsArthur,"Adams, Arthur",Arthur Adams,Adams,Arthur,,Unknown,Outside Right,,,,,Outside Right
AdamsEdward19081112,"Adams, Edward",Edward Adams,Adams,Edward,1908-11-12,,Outside Right,,,,,Outside Right
AdkinsNigel19650311,"Adkins, Nigel",Nigel Adkins,Adkins,Nigel,1965-03-11,,Goalkeeper,,Goalkeeper,,,Goalkeeper
AhmedAdnan19840607,"Ahmed, Adnan",Adnan Ahmed,Ahmed,Adnan,1984-06-07,,,Midfielder,Central Midfield,,,Central Midfield
AimsonWill19940603,"Aimson, Will",Will Aimson,Aimson,Will,1994-06-03,,,Defender,Centre-Back,,,Centre-Back
AistonSam19761121,"Aiston, Sam",Sam Aiston,Aiston,Sam,1976-11-21,,,Midfielder,Left Midfield,,,Left Midfield
AkammaduFranklyn19980811,"Akammadu, Franklyn",Franklyn Akammadu,Akammadu,Franklyn,1998-08-11,,,Forward,Centre-Forward,Right Winger,Left Winger,Centre-Forward
AkinsLucas19890225,"Akins, Lucas",Lucas Akins,Akins,Lucas,1989-02-25,,,Defender,Right Winger,Centre-Forward,Right-Back,Right Winger
AkpaAkproJeanLouis19850104,"Akpa Akpro, Jean-Louis",Jean-Louis Akpa Akpro,Akpa Akpro,Jean-Louis,1985-01-04,,,Forward,Centre-Forward,Second Striker,Left Winger,Centre-Forward
AlabiJames19941108,"Alabi, James",James Alabi,Alabi,James,1994-11-08,,,Forward,Centre-Forward,Left Winger,Right Winger,Centre-Forward
AlcockEdward1914,"Alcock, Edward",Edward Alcock,Alcock,Edward,,~1914,Outside Left,,,,,Outside Left
AldridgeJohn19580918,"Aldridge, John",John Aldridge,Aldridge,John,1958-09-18,,Forward,Forward,Centre-Forward,,,Forward
