season,league_tier
1921/22,3
1922/23,3
1923/24,3
1924/25,3
1925/26,3
1926/27,3
1927/28,3
1928/29,3
1929/30,3
1930/31,3
1931/32,3
1932/33,3
1933/34,3
1934/35,3
1935/36,3
1936/37,3
1937/38,3
1938/39,2
1946/47,3
1947/48,3
1948/49,3
1949/50,3
1950/51,3
1951/52,3
1952/53,3
1953/54,3
1954/55,3
1955/56,3
1956/57,3
1957/58,3
1958/59,3
1959/60,3
1960/61,3
1961/62,4
1962/63,4
1963/64,4
1964/65,4
1965/66,4
1966/67,4
1967/68,3
1968/69,3
1969/70,3
1970/71,3
1971/72,3
1972/73,3
1973/74,3
1974/75,3
1975/76,4
1976/77,3
1977/78,3
1978/79,3
1979/80,4
1980/81,4
1981/82,4
1982/83,4
1983/84,4
1984/85,4
1985/86,4
1986/87,4
1987/88,4
1988/89,4
1989/90,3
1990/91,3
1991/92,2
1992/93,2
1993/94,2
1994/95,2
1995/96,2
1996/97,2
1997/98,2
1998/99,2
1999/00,2
2000/01,2
2001/02,3
2002/03,3
2003/04,3
2004/05,3
2005/06,3
2006/07,3
2007/08,3
2008/09,3
2009/10,3
2010/11,3
2011/12,3
2012/13,3
2013/14,3
2014/15,4
2015/16,5
2016/17,5
2017/18,5
2018/19,4
2019/20,3
2020/21,4
2021/22,4
2022/23,4
2023/24,4
2024/25,4
