season,generic_comp,sponsor,name,spon_start,spon_end
1994/95,FA Cup,Littlewoods,The FA Cup sponsored by Littlewoods,1994,1998
1995/96,FA Cup,Littlewoods,The FA Cup sponsored by Littlewoods,1994,1998
1996/97,FA Cup,Littlewoods,The FA Cup sponsored by Littlewoods,1994,1998
1997/98,FA Cup,Littlewoods,The FA Cup sponsored by Littlewoods,1994,1998
1998/99,FA Cup,AXA,The AXA sponsored FA Cup,1998,2002
1999/00,FA Cup,AXA,The AXA sponsored FA Cup,1998,2002
2000/01,FA Cup,AXA,The AXA sponsored FA Cup,1998,2002
2001/02,FA Cup,AXA,The AXA sponsored FA Cup,1998,2002
2006/07,FA Cup,E.ON,The FA Cup sponsored by E.ON,2006,2011
2007/08,FA Cup,E.ON,The FA Cup sponsored by E.ON,2006,2011
2008/09,FA Cup,E.ON,The FA Cup sponsored by E.ON,2006,2011
2009/10,FA Cup,E.ON,The FA Cup sponsored by E.ON,2006,2011
2010/11,FA Cup,E.ON,The FA Cup sponsored by E.ON,2006,2011
2011/12,FA Cup,Budweiser,The FA Cup with Budweiser,2011,2014
2012/13,FA Cup,Budweiser,The FA Cup with Budweiser,2011,2014
2013/14,FA Cup,Budweiser,The FA Cup with Budweiser,2011,2014
2015/16,FA Cup,Emirates,The Emirates FA Cup,2015,2028
2016/17,FA Cup,Emirates,The Emirates FA Cup,2015,2028
2017/18,FA Cup,Emirates,The Emirates FA Cup,2015,2028
2018/19,FA Cup,Emirates,The Emirates FA Cup,2015,2028
2019/20,FA Cup,Emirates,The Emirates FA Cup,2015,2028
2020/21,FA Cup,Emirates,The Emirates FA Cup,2015,2028
2021/22,FA Cup,Emirates,The Emirates FA Cup,2015,2028
2022/23,FA Cup,Emirates,The Emirates FA Cup,2015,2028
2023/24,FA Cup,Emirates,The Emirates FA Cup,2015,2028
2024/25,FA Cup,Emirates,The Emirates FA Cup,2015,2028
2025/26,FA Cup,Emirates,The Emirates FA Cup,2015,2028
2026/27,FA Cup,Emirates,The Emirates FA Cup,2015,2028
2027/28,FA Cup,Emirates,The Emirates FA Cup,2015,2028
1960/61,League Cup,,Football League Cup,1960,1981
1961/62,League Cup,,Football League Cup,1960,1981
1962/63,League Cup,,Football League Cup,1960,1981
1963/64,League Cup,,Football League Cup,1960,1981
1964/65,League Cup,,Football League Cup,1960,1981
1965/66,League Cup,,Football League Cup,1960,1981
1966/67,League Cup,,Football League Cup,1960,1981
1967/68,League Cup,,Football League Cup,1960,1981
1968/69,League Cup,,Football League Cup,1960,1981
1969/70,League Cup,,Football League Cup,1960,1981
1970/71,League Cup,,Football League Cup,1960,1981
1971/72,League Cup,,Football League Cup,1960,1981
1972/73,League Cup,,Football League Cup,1960,1981
1973/74,League Cup,,Football League Cup,1960,1981
1974/75,League Cup,,Football League Cup,1960,1981
1975/76,League Cup,,Football League Cup,1960,1981
1976/77,League Cup,,Football League Cup,1960,1981
1977/78,League Cup,,Football League Cup,1960,1981
1978/79,League Cup,,Football League Cup,1960,1981
1979/80,League Cup,,Football League Cup,1960,1981
1980/81,League Cup,,Football League Cup,1960,1981
1981/82,League Cup,Milk Marketing Board,Milk Cup,1981,1986
1982/83,League Cup,Milk Marketing Board,Milk Cup,1981,1986
1983/84,League Cup,Milk Marketing Board,Milk Cup,1981,1986
1984/85,League Cup,Milk Marketing Board,Milk Cup,1981,1986
1985/86,League Cup,Milk Marketing Board,Milk Cup,1981,1986
1986/87,League Cup,Littlewoods,Littlewoods Challenge Cup,1986,1990
1987/88,League Cup,Littlewoods,Littlewoods Challenge Cup,1986,1990
1988/89,League Cup,Littlewoods,Littlewoods Challenge Cup,1986,1990
1989/90,League Cup,Littlewoods,Littlewoods Challenge Cup,1986,1990
1990/91,League Cup,Rumbelows,Rumbelows Cup,1990,1992
1991/92,League Cup,Rumbelows,Rumbelows Cup,1990,1992
1992/93,League Cup,Coca-Cola,Coca-Cola Cup,1992,1998
1993/94,League Cup,Coca-Cola,Coca-Cola Cup,1992,1998
1994/95,League Cup,Coca-Cola,Coca-Cola Cup,1992,1998
1995/96,League Cup,Coca-Cola,Coca-Cola Cup,1992,1998
1996/97,League Cup,Coca-Cola,Coca-Cola Cup,1992,1998
1997/98,League Cup,Coca-Cola,Coca-Cola Cup,1992,1998
1998/99,League Cup,Worthington's,Worthington Cup,1998,2003
1999/00,League Cup,Worthington's,Worthington Cup,1998,2003
