season,generic_comp,sponsor,name,spon_start,spon_end
1984/85,Non-League,Gola,Gola League,1984,1986
1985/86,Non-League,Gola,Gola League,1984,1986
1986/87,Football League,Today,Today League,1986,1987
1986/87,Non-League,General Motors,GM Vauxhall Conference,1986,1998
1987/88,Football League,Barclays,Barclays League,1987,1993
1987/88,Non-League,General Motors,GM Vauxhall Conference,1986,1998
1988/89,Football League,Barclays,Barclays League,1987,1993
1988/89,Non-League,General Motors,GM Vauxhall Conference,1986,1998
1989/90,Football League,Barclays,Barclays League,1987,1993
1989/90,Non-League,General Motors,GM Vauxhall Conference,1986,1998
1990/91,Football League,Barclays,Barclays League,1987,1993
1990/91,Non-League,General Motors,GM Vauxhall Conference,1986,1998
1991/92,Football League,Barclays,Barclays League,1987,1993
1991/92,Non-League,General Motors,GM Vauxhall Conference,1986,1998
1992/93,Football League,Barclays,Barclays League,1987,1993
1992/93,Non-League,General Motors,GM Vauxhall Conference,1986,1998
1993/94,Football League,Endsleigh,Endsleigh League,1993,1996
1993/94,Non-League,General Motors,GM Vauxhall Conference,1986,1998
1994/95,Football League,Endsleigh,Endsleigh League,1993,1996
1994/95,Non-League,General Motors,GM Vauxhall Conference,1986,1998
1995/96,Football League,Endsleigh,Endsleigh League,1993,1996
1995/96,Non-League,General Motors,GM Vauxhall Conference,1986,1998
1996/97,Football League,Nationwide,Nationwide Football League,1996,2004
1996/97,Non-League,General Motors,GM Vauxhall Conference,1986,1998
1997/98,Football League,Nationwide,Nationwide Football League,1996,2004
1997/98,Non-League,General Motors,GM Vauxhall Conference,1986,1998
1998/99,Football League,Nationwide,Nationwide Football League,1996,2004
1998/99,Non-League,Nationwide Building Society,Nationwide Conference,1998,2004
1999/00,Football League,Nationwide,Nationwide Football League,1996,2004
1999/00,Non-League,Nationwide Building Society,Nationwide Conference,1998,2004
2000/01,Football League,Nationwide,Nationwide Football League,1996,2004
2000/01,Non-League,Nationwide Building Society,Nationwide Conference,1998,2004
2001/02,Football League,Nationwide,Nationwide Football League,1996,2004
2001/02,Non-League,Nationwide Building Society,Nationwide Conference,1998,2004
2002/03,Football League,Nationwide,Nationwide Football League,1996,2004
2002/03,Non-League,Nationwide Building Society,Nationwide Conference,1998,2004
2003/04,Football League,Nationwide,Nationwide Football League,1996,2004
2003/04,Non-League,Nationwide Building Society,Nationwide Conference,1998,2004
2004/05,Football League,Coca-Cola,Coca-Cola Football League,2004,2010
2004/05,Non-League,Nationwide Building Society,Nationwide Conference,2004,2007
2005/06,Football League,Coca-Cola,Coca-Cola Football League,2004,2010
2005/06,Non-League,Nationwide Building Society,Nationwide Conference,2004,2007
2006/07,Football League,Coca-Cola,Coca-Cola Football League,2004,2010
2006/07,Non-League,Nationwide Building Society,Nationwide Conference,2004,2007
2007/08,Football League,Coca-Cola,Coca-Cola Football League,2004,2010
2007/08,Non-League,Blue Square,Blue Square Premier,2007,2010
2008/09,Football League,Coca-Cola,Coca-Cola Football League,2004,2010
2008/09,Non-League,Blue Square,Blue Square Premier,2007,2010
2009/10,Football League,Coca-Cola,Coca-Cola Football League,2004,2010
2009/10,Non-League,Blue Square,Blue Square Premier,2007,2010
2010/11,Football League,npower,npower Football League,2010,2013
2010/11,Non-League,Blue Square Bet,Blue Square Bet Premier,2010,2013
2011/12,Football League,npower,npower Football League,2010,2013
2011/12,Non-League,Blue Square Bet,Blue Square Bet Premier,2010,2013
2012/13,Football League,npower,npower Football League,2010,2013
2012/13,Non-League,Blue Square Bet,Blue Square Bet Premier,2010,2013
2013/14,Football League,Sky Bet,Sky Bet Football League,2013,2016
2013/14,Non-League,Skrill,Skrill Premier,2013,2014
2014/15,Football League,Sky Bet,Sky Bet Football League,2013,2016
2014/15,Non-League,Vanarama,Vanarama Conference,2014,2015
2015/16,Football League,Sky Bet,Sky Bet Football League,2013,2016
2015/16,Non-League,Vanarama,Vanarama National League,2015,2025
2016/17,Football League,Sky Bet,Sky Bet EFL,2016,2029
2016/17,Non-League,Vanarama,Vanarama National League,2015,2025
2017/18,Football League,Sky Bet,Sky Bet EFL,2016,2029
2017/18,Non-League,Vanarama,Vanarama National League,2015,2025
2018/19,Football League,Sky Bet,Sky Bet EFL,2016,2029
2018/19,Non-League,Vanarama,Vanarama National League,2015,2025
2019/20,Football League,Sky Bet,Sky Bet EFL,2016,2029
2019/20,Non-League,Vanarama,Vanarama National League,2015,2025
2020/21,Football League,Sky Bet,Sky Bet EFL,2016,2029
2020/21,Non-League,Vanarama,Vanarama National League,2015,2025
2021/22,Football League,Sky Bet,Sky Bet EFL,2016,2029
2021/22,Non-League,Vanarama,Vanarama National League,2015,2025
2022/23,Football League,Sky Bet,Sky Bet EFL,2016,2029
2022/23,Non-League,Vanarama,Vanarama National League,2015,2025
2023/24,Football League,Sky Bet,Sky Bet EFL,2016,2029
2023/24,Non-League,Vanarama,Vanarama National League,2015,2025
2024/25,Football League,Sky Bet,Sky Bet EFL,2016,2029
2024/25,Non-League,Vanarama,Vanarama National League,2015,2025
