game_date,player_on_id,player_off_id,sub_min,min_off,sub_reason
1965-08-23,LornieJack19390302,HillMandy19400215,75.0,,
1965-10-15,KingJohnny19380415,StuartEddie19310512,82.0,,
1966-01-08,StanleyGraham19380127,DysonBarry19420906,73.0,,
1966-01-14,LornieJack19390302,PritchardJoe19430904,60.0,,
1966-04-23,MartinBarrie19350929,LornieJack19390302,68.0,,
1966-08-24,HarrisJimmy19330818,SinclairRoy19441210,,,
1966-09-10,SinclairRoy19441210,AshworthBarry19420815,,,
1966-09-16,MartinBarrie19350929,StortonStan19390105,,,
1966-10-14,StortonStan19390105,ParnellRoy19431008,,,
1966-10-17,SinclairRoy19441210,BeamishKenny19470825,,,
1966-10-22,MartinBarrie19350929,WestlakeBrian19430919,,,
1966-12-03,WestlakeBrian19430919,HillMandy19400215,,,
1966-12-27,CrawfordBruce19381010,MartinBarrie19350929,,,
1966-12-30,CrawfordBruce19381010,PritchardJoe19430904,,,
1967-02-17,MartinBarrie19350929,PritchardJoe19430904,,,
1967-03-11,SinclairRoy19441210,KingAlan19450118,,,
1967-03-24,StevensDennis19331130,PritchardJoe19430904,,,
1967-05-17,SinclairRoy19441210,HillMandy19400215,,,
1967-08-25,RobertsonTeddie19351219,KingAlan19450118,,,
1967-09-16,StevensDennis19331130,YardleyGeorge19421008,,,
1967-10-03,StevensDennis19331130,KingJohnny19380415,,,
1967-10-07,BeamishKenny19470825,RobertsonTeddie19351219,,,
1967-10-13,HudsonGeorge19370314,MacNameeJohn19420731,,,
1967-10-23,PointonRay19471106,YardleyGeorge19421008,,,
1967-11-10,SinclairRoy19441210,StortonStan19390105,,,
1967-11-13,StevensDennis19331130,PritchardJoe19430904,,,
1967-11-18,HillMandy19400215,BeamishKenny19470825,,,
1967-12-23,RobertsonTeddie19351219,HillMandy19400215,,,
1968-01-19,MacNameeJohn19420731,HudsonGeorge19370314,,,
1968-02-21,CaseyGerry19410825,StevensDennis19331130,,,
1968-02-23,BeamishKenny19470825,MacNameeJohn19420731,,,
1968-03-05,CaseyGerry19410825,YardleyGeorge19421008,,,
1968-03-09,CaseyGerry19410825,HudsonGeorge19370314,,,
1968-03-15,MacNameeJohn19420731,PritchardJoe19430904,,,
1968-03-20,CaseyGerry19410825,KingAlan19450118,,,
1968-04-06,StortonStan19390105,MacNameeJohn19420731,,,
1968-04-12,WilliamsGraham19361231,BeamishKenny19470825,,,
1968-04-13,StortonStan19390105,MartinBarrie19350929,,,
1968-05-11,KingJohnny19380415,MacNameeJohn19420731,,,
1968-08-21,BeamishKenny19470825,RowlandJohn19410407,,,
1968-08-23,RowlandJohn19410407,YardleyGeorge19421008,,,
1968-08-31,SinclairRoy19441210,BeamishKenny19470825,,,
1968-09-03,SinclairRoy19441210,PritchardJoe19430904,,,
1968-09-06,SinclairRoy19441210,BeamishKenny19470825,,,
1968-09-20,CaseyGerry19410825,PritchardJoe19430904,,,
1968-10-11,StortonStan19390105,MacNameeJohn19420731,,,
1968-10-14,StortonStan19390105,GillFrank19481205,,,
1968-10-19,StortonStan19390105,PritchardJoe19430904,,,
1968-11-02,SinclairRoy19441210,MacNameeJohn19420731,,,
1968-11-29,SmithDerek19460705,RowlandJohn19410407,,,
1969-03-07,PointonRay19471106,HudsonGeorge19370314,,,
1969-03-17,RobertsonTeddie19351219,KennedyDavid19490214,,,
1969-03-29,PointonRay19471106,BeamishKenny19470825,,,
1969-04-12,RobertsonTeddie19351219,MoorcroftDave19470316,,,
1969-04-21,JohnsonBrian19481029,BeamishKenny19470825,,,
1969-08-09,StortonStan19390105,PritchardJoe19430904,,,
1969-08-30,MathiasRay19461213,SmithDerek19460705,,,
1969-09-15,MacNameeJohn19420731,SmithDerek19460705,,,
1969-09-30,SmithDerek19460705,MoorcroftDave19470316,,,
1969-10-04,ScottGeorge19441025,PritchardJoe19430904,,,
1969-10-11,StortonStan19390105,PointonRay19471106,,,
1969-10-18,StortonStan19390105,KnappTony19361013,,,
1969-10-25,MacNameeJohn19420731,YardleyGeorge19421008,,,
1969-11-22,PritchardJoe19430904,ScottGeorge19441025,,,
1969-11-24,StortonTrevor19491126,PritchardJoe19430904,,,
1969-11-29,MacNameeJohn19420731,CrossleyPaul19480714,,,
1969-12-06,KennedyDavid19490214,StortonStan19390105,,,
1969-12-13,PointonRay19471106,CrossleyPaul19480714,,,
1969-12-20,MoorcroftDave19470316,SmithDerek19460705,,,
1969-12-26,MathiasRay19461213,KennedyDavid19490214,,,
1970-01-24,ScottGeorge19441025,MacNameeJohn19420731,,,
1970-01-27,MacNameeJohn19420731,BrodieEric19401108,,,
1970-01-31,KennedyDavid19490214,YardleyGeorge19421008,,,
1970-02-21,PritchardJoe19430904,ScottGeorge19441025,,,
1970-02-25,MathiasRay19461213,KennedyDavid19490214,,,
1970-02-28,MathiasRay19461213,ScottGeorge19441025,,,
1970-03-06,HinchJimmy19471108,GillFrank19481205,,,
1970-03-16,HinchJimmy19471108,SmithDerek19460705,,,
1970-03-27,PointonRay19471106,ScottGeorge19441025,,,
1970-03-28,SmithDerek19460705,YardleyGeorge19421008,,,
1970-03-31,SmithDerek19460705,HinchJimmy19471108,,,
1970-04-03,SmithDerek19460705,HinchJimmy19471108,,,
1970-04-08,CrossleyPaul19480714,YardleyGeorge19421008,,,
1970-04-24,CrossleyPaul19480714,HinchJimmy19471108,,,
1970-09-02,DempseyJohn19510402,BeamishKenny19470825,,,
1970-09-09,MooreMalcolm19481218,GillFrank19481205,,,
1970-09-12,MooreMalcolm19481218,BeamishKenny19470825,,,
1970-09-18,MooreMalcolm19481218,HinchJimmy19471108,,,
1970-09-25,DempseyJohn19510402,GillFrank19481205,,,
1970-10-02,StortonTrevor19491126,YardleyGeorge19421008,,,
1970-10-16,CrossleyPaul19480714,KnappTony19361013,,,
1970-10-19,CrossleyPaul19480714,MooreMalcolm19481218,,,
1970-10-24,PointonRay19471106,MooreMalcolm19481218,,,
1970-11-09,StortonTrevor19491126,HinchJimmy19471108,,,
1970-11-13,CrossleyPaul19480714,HinchJimmy19471108,,,
1970-11-24,YardleyGeorge19421008,MooreMalcolm19481218,,,
